NDB_No,Shrt_Desc,Energ_Kcal,Protein_g,Lipid_Tot_g,Ash_g,Carbohydrt_g,Fiber_TD_g,Sugar_Tot_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mg,Manganese_mg,Selenium_ug,Vit_C_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,Panto_Acid_mg,Vit_B6_mg,Folate_Tot_ug,Folic_Acid_ug,Food_Folate_ug,Folate_DFE_ug,Choline_Tot_ mg,Vit_B12_ug,Vit_A_IU,Vit_A_RAE,Retinol_ug,Alpha_Carot_ug,Beta_Carot_ug,Beta_Crypt_ug,Lycopene_ug,Lut+Zea_ ug,Vit_E_mg,Vit_D_ug,Vit_D_IU,Vit_K_ug,FA_Sat_g,FA_Mono_g,FA_Poly_g,Cholestrl_mg,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
20129,"WHEAT FLOURS,BREAD,UNENR",361,11.98,1.66,0.47,72.53,2.4,0.31,15,0.9,25,97,100,2,0.85,0.182,0.792,39.7,0,0.08,0.06,1,0.438,0.037,33,0,33,33,10.4,0,2,0,0,0,1,0,0,79,0.4,0,0,0.3,0.244,0.14,0.727,0,137,"1 cup,  unsifted, dipped",,,0
18369,"LEAVENING AGENTS,BAKING PDR,DOUBLE-ACTING,NA AL SULFATE",53,0,0,67.3,27.7,0.2,0,5876,11.02,27,2191,20,10600,0.01,0.01,0.011,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,1 tsp,2.3,.5 tsp,0
19335,"SUGARS,GRANULATED",387,0,0,0.01,99.98,0,99.8,1,0.05,0,0,2,1,0.01,0.007,0.004,0.6,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,"1 serving, packet",4.2,1 tsp,0
2047,"SALT,TABLE",0,0,0,99.8,0,0,0,24,0.33,1,0,8,38758,0.1,0.03,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1 tsp,18,1 tbsp,0
4615,"SHORTENING,VEG,HOUSEHOLD,COMP",884,0,99.97,0.03,0,0,0,1,0.07,0,0,0,4,0,0,0,0,0,0.02,0,0,0.68,0.001,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,6.13,0,0,53.2,24.98,41.186,28.097,0,12.8,1 tbsp,205,1 cup,0
1088,"MILK,BUTTRMILK,FLUID,CULTURED,LOWFAT",40,3.31,0.88,0.89,4.79,0,4.79,116,0.05,11,89,151,190,0.42,0.011,0.002,2,1,0.034,0.154,0.058,0.275,0.034,5,0,5,5,17.7,0.22,47,14,13,0,1,0,0,0,0.05,0,1,0.1,0.548,0.254,0.033,4,245,1 cup,30.6,1 fl oz,0
1145,"BUTTER,WITHOUT SALT",717,0.85,81.11,0.09,0.06,0,0.06,24,0.02,2,24,24,11,0.09,0.016,0.004,1,0,0.005,0.034,0.042,0.11,0.003,3,0,3,3,18.8,0.17,2499,684,671,0,158,0,0,0,2.32,0,0,7,50.489,23.43,3.01,215,5,"1 pat,  (1"" sq, 1/3"" high)",14.2,1 tbsp,0
11477,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW",17,1.21,0.32,0.58,3.11,1,2.5,16,0.37,18,38,261,8,0.32,0.053,0.177,0.2,17.9,0.045,0.094,0.451,0.204,0.163,24,0,24,24,9.5,0,200,10,0,0,120,0,0,2125,0.12,0,0,4.3,0.084,0.011,0.091,0,124,"1 cup, chopped",113,"1 cup, sliced",5
11475,"SQUASH,SUMMER,SCALLOP,RAW",18,1.2,0.2,0.58,3.84,1.2,2.39,19,0.4,23,36,182,1,0.29,0.102,0.157,0.2,18,0.07,0.03,0.6,0.102,0.109,30,0,30,30,7.3,0,217,11,0,0,130,0,0,2308,0.13,0,0,3.3,0.041,0.015,0.084,0,130,"1 cup, slices",,,2
11265,"MUSHROOMS,PORTABELLA,RAW",22,2.11,0.35,0.85,3.87,1.3,2.5,3,0.31,,108,364,9,0.53,0.286,0.069,18.6,0,0.059,0.13,4.494,1.14,0.148,28,0,28,28,21.2,0.05,0,0,0,0,0,0,0,0,0.02,0.3,10,0,0.06,0.02,0.117,0,86,"1 cup, diced",84,"1 piece, whole",3
